danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.767,0.721,1,-5.586,1,0.0456,0.153,1.52e-06,0.108,0.884,150.065,audio_features,3v5o91PrUtf0nmO6j8J7dZ,spotify:track:3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/tracks/3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/audio-analysis/3v5o91PrUtf0nmO6j8J7dZ,208066,4
0.83,0.419,5,-9.76,0,0.063,0.0465,0.0145,0.0815,0.511,119.993,audio_features,1dHiSGzb9WFtDKnBFJs4KO,spotify:track:1dHiSGzb9WFtDKnBFJs4KO,https://api.spotify.com/v1/tracks/1dHiSGzb9WFtDKnBFJs4KO,https://api.spotify.com/v1/audio-analysis/1dHiSGzb9WFtDKnBFJs4KO,166000,4
0.518,0.895,1,-4.735,0,0.0459,0.000241,5.28e-05,0.0702,0.278,127.965,audio_features,4wgnDiPIr6oXULBgQeszek,spotify:track:4wgnDiPIr6oXULBgQeszek,https://api.spotify.com/v1/tracks/4wgnDiPIr6oXULBgQeszek,https://api.spotify.com/v1/audio-analysis/4wgnDiPIr6oXULBgQeszek,244907,4
0.616,0.724,5,-3.79,0,0.0667,0.0699,1.54e-05,0.0692,0.769,150.034,audio_features,1adFyxrkXY1VF4uBys3jtM,spotify:track:1adFyxrkXY1VF4uBys3jtM,https://api.spotify.com/v1/tracks/1adFyxrkXY1VF4uBys3jtM,https://api.spotify.com/v1/audio-analysis/1adFyxrkXY1VF4uBys3jtM,115716,4
0.672,0.781,0,-6.763,1,0.0523,0.176,0.000165,0.671,0.334,124.02,audio_features,7wlbM2CN8RiSwWWwWLZx0y,spotify:track:7wlbM2CN8RiSwWWwWLZx0y,https://api.spotify.com/v1/tracks/7wlbM2CN8RiSwWWwWLZx0y,https://api.spotify.com/v1/audio-analysis/7wlbM2CN8RiSwWWwWLZx0y,216774,4
0.714,0.657,10,-6.361,1,0.0327,0.00668,6.81e-06,0.309,0.669,119.988,audio_features,7awomfKxYCpcqUlfZav6PD,spotify:track:7awomfKxYCpcqUlfZav6PD,https://api.spotify.com/v1/tracks/7awomfKxYCpcqUlfZav6PD,https://api.spotify.com/v1/audio-analysis/7awomfKxYCpcqUlfZav6PD,184627,4
0.503,0.763,4,-6.005,0,0.0795,0.31,1.79e-05,0.129,0.322,96.075,audio_features,1Bzyh2PDRbIR1Q1A8u3U9b,spotify:track:1Bzyh2PDRbIR1Q1A8u3U9b,https://api.spotify.com/v1/tracks/1Bzyh2PDRbIR1Q1A8u3U9b,https://api.spotify.com/v1/audio-analysis/1Bzyh2PDRbIR1Q1A8u3U9b,203912,4
0.734,0.869,1,-3.236,0,0.198,0.135,0,0.191,0.824,123.831,audio_features,56ze1yziKclD5iaYlhYysx,spotify:track:56ze1yziKclD5iaYlhYysx,https://api.spotify.com/v1/tracks/56ze1yziKclD5iaYlhYysx,https://api.spotify.com/v1/audio-analysis/56ze1yziKclD5iaYlhYysx,188367,4
0.721,0.791,8,-5.34,1,0.109,0.128,1.08e-06,0.245,0.947,118.987,audio_features,0nVQUr1Q4P6YTkv6KLdGU4,spotify:track:0nVQUr1Q4P6YTkv6KLdGU4,https://api.spotify.com/v1/tracks/0nVQUr1Q4P6YTkv6KLdGU4,https://api.spotify.com/v1/audio-analysis/0nVQUr1Q4P6YTkv6KLdGU4,227368,4
0.658,0.863,7,-3.539,0,0.0558,0.0242,0.0123,0.303,0.497,114.934,audio_features,3t4ozuyQ2OidVwuG08FHBn,spotify:track:3t4ozuyQ2OidVwuG08FHBn,https://api.spotify.com/v1/tracks/3t4ozuyQ2OidVwuG08FHBn,https://api.spotify.com/v1/audio-analysis/3t4ozuyQ2OidVwuG08FHBn,202731,4
0.735,0.849,4,-4.308,0,0.129,0.212,2.94e-05,0.0608,0.223,125.972,audio_features,2YkjXEab4USTV9uuAgC90E,spotify:track:2YkjXEab4USTV9uuAgC90E,https://api.spotify.com/v1/tracks/2YkjXEab4USTV9uuAgC90E,https://api.spotify.com/v1/audio-analysis/2YkjXEab4USTV9uuAgC90E,207477,4
0.733,0.566,0,-9.232,1,0.0401,0.414,0.000509,0.115,0.565,160.0,audio_features,0uNo3E6rg68AFf18ZyeLgm,spotify:track:0uNo3E6rg68AFf18ZyeLgm,https://api.spotify.com/v1/tracks/0uNo3E6rg68AFf18ZyeLgm,https://api.spotify.com/v1/audio-analysis/0uNo3E6rg68AFf18ZyeLgm,207857,4
0.625,0.712,2,-5.996,1,0.0539,0.0229,0,0.252,0.398,163.015,audio_features,3IelG5zYpWWCZIH4cqWlPV,spotify:track:3IelG5zYpWWCZIH4cqWlPV,https://api.spotify.com/v1/tracks/3IelG5zYpWWCZIH4cqWlPV,https://api.spotify.com/v1/audio-analysis/3IelG5zYpWWCZIH4cqWlPV,203557,4
0.877,0.541,1,-7.359,0,0.0536,0.00526,0.000204,0.106,0.741,129.007,audio_features,2t3MgQZSfPjMCpCkN9fv9C,spotify:track:2t3MgQZSfPjMCpCkN9fv9C,https://api.spotify.com/v1/tracks/2t3MgQZSfPjMCpCkN9fv9C,https://api.spotify.com/v1/audio-analysis/2t3MgQZSfPjMCpCkN9fv9C,152644,4
