danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.748,0.472,3,-9.15,0,0.0557,0.0822,0,0.0525,0.605,141.93,audio_features,3PPD1wg591kQnsws16mlkS,spotify:track:3PPD1wg591kQnsws16mlkS,https://api.spotify.com/v1/tracks/3PPD1wg591kQnsws16mlkS,https://api.spotify.com/v1/audio-analysis/3PPD1wg591kQnsws16mlkS,167313,4
0.466,0.429,8,-4.52,1,0.0445,0.672,0,0.0928,0.375,179.462,audio_features,6nzCvAtyADh0wwZEVMoujK,spotify:track:6nzCvAtyADh0wwZEVMoujK,https://api.spotify.com/v1/tracks/6nzCvAtyADh0wwZEVMoujK,https://api.spotify.com/v1/audio-analysis/6nzCvAtyADh0wwZEVMoujK,206680,3
0.704,0.638,10,-2.834,1,0.0742,0.385,0,0.0683,0.386,107.974,audio_features,304uzYXYjPulJpLRJzuesX,spotify:track:304uzYXYjPulJpLRJzuesX,https://api.spotify.com/v1/tracks/304uzYXYjPulJpLRJzuesX,https://api.spotify.com/v1/audio-analysis/304uzYXYjPulJpLRJzuesX,184478,4
0.766,0.426,0,-8.413,1,0.0573,0.812,0,0.108,0.436,109.925,audio_features,4rhUCUk6QLmddwPfek1pRk,spotify:track:4rhUCUk6QLmddwPfek1pRk,https://api.spotify.com/v1/tracks/4rhUCUk6QLmddwPfek1pRk,https://api.spotify.com/v1/audio-analysis/4rhUCUk6QLmddwPfek1pRk,148362,4
0.684,0.539,2,-7.526,1,0.0894,0.079,0,0.165,0.309,99.924,audio_features,0eRPXi5EhX86lXUMA0wcns,spotify:track:0eRPXi5EhX86lXUMA0wcns,https://api.spotify.com/v1/tracks/0eRPXi5EhX86lXUMA0wcns,https://api.spotify.com/v1/audio-analysis/0eRPXi5EhX86lXUMA0wcns,158516,4
0.719,0.265,2,-12.782,1,0.0754,0.296,0.0865,0.108,0.273,80.021,audio_features,2BuJrxYKhYky20dQqTlobO,spotify:track:2BuJrxYKhYky20dQqTlobO,https://api.spotify.com/v1/tracks/2BuJrxYKhYky20dQqTlobO,https://api.spotify.com/v1/audio-analysis/2BuJrxYKhYky20dQqTlobO,152480,4
0.587,0.506,10,-7.694,0,0.15,0.188,0,0.0611,0.459,169.971,audio_features,0gVqDsMxAOREJ6WcdOuVHk,spotify:track:0gVqDsMxAOREJ6WcdOuVHk,https://api.spotify.com/v1/tracks/0gVqDsMxAOREJ6WcdOuVHk,https://api.spotify.com/v1/audio-analysis/0gVqDsMxAOREJ6WcdOuVHk,160105,4
0.747,0.446,11,-10.032,1,0.0603,0.225,0,0.155,0.642,122.023,audio_features,31sZ3f4En15JbGW4uIEH7D,spotify:track:31sZ3f4En15JbGW4uIEH7D,https://api.spotify.com/v1/tracks/31sZ3f4En15JbGW4uIEH7D,https://api.spotify.com/v1/audio-analysis/31sZ3f4En15JbGW4uIEH7D,192000,4
0.616,0.724,5,-3.79,0,0.0667,0.0699,1.54e-05,0.0692,0.769,150.034,audio_features,1adFyxrkXY1VF4uBys3jtM,spotify:track:1adFyxrkXY1VF4uBys3jtM,https://api.spotify.com/v1/tracks/1adFyxrkXY1VF4uBys3jtM,https://api.spotify.com/v1/audio-analysis/1adFyxrkXY1VF4uBys3jtM,115716,4
0.459,0.24,1,-14.025,1,0.0475,0.905,0,0.0878,0.544,159.389,audio_features,1NAzCLEmhvss8Bc1yNj0x8,spotify:track:1NAzCLEmhvss8Bc1yNj0x8,https://api.spotify.com/v1/tracks/1NAzCLEmhvss8Bc1yNj0x8,https://api.spotify.com/v1/audio-analysis/1NAzCLEmhvss8Bc1yNj0x8,110000,4
0.861,0.546,2,-4.854,1,0.149,0.0797,1.4e-05,0.0672,0.466,99.986,audio_features,15klOUngSgOmgQsgJp9Ocj,spotify:track:15klOUngSgOmgQsgJp9Ocj,https://api.spotify.com/v1/tracks/15klOUngSgOmgQsgJp9Ocj,https://api.spotify.com/v1/audio-analysis/15klOUngSgOmgQsgJp9Ocj,185500,4
0.785,0.747,8,-7.583,0,0.0425,0.515,0.00557,0.128,0.589,101.045,audio_features,2h7m83VVpLkLRGF6VMMRk8,spotify:track:2h7m83VVpLkLRGF6VMMRk8,https://api.spotify.com/v1/tracks/2h7m83VVpLkLRGF6VMMRk8,https://api.spotify.com/v1/audio-analysis/2h7m83VVpLkLRGF6VMMRk8,152079,4
0.422,0.53,6,-10.989,0,0.123,0.528,0.00036,0.0899,0.209,93.35,audio_features,6KQ1kXpm6fNi5covVSMvz1,spotify:track:6KQ1kXpm6fNi5covVSMvz1,https://api.spotify.com/v1/tracks/6KQ1kXpm6fNi5covVSMvz1,https://api.spotify.com/v1/audio-analysis/6KQ1kXpm6fNi5covVSMvz1,150638,4
0.564,0.809,5,-4.427,1,0.176,0.518,0,0.276,0.358,145.814,audio_features,1qsjEmjRzXVsmC0oLitHzN,spotify:track:1qsjEmjRzXVsmC0oLitHzN,https://api.spotify.com/v1/tracks/1qsjEmjRzXVsmC0oLitHzN,https://api.spotify.com/v1/audio-analysis/1qsjEmjRzXVsmC0oLitHzN,235727,4
0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4
0.429,0.537,6,-5.638,0,0.12,0.275,0,0.231,0.682,139.309,audio_features,6nrd2ZR82WaoUCHQLsGqrl,spotify:track:6nrd2ZR82WaoUCHQLsGqrl,https://api.spotify.com/v1/tracks/6nrd2ZR82WaoUCHQLsGqrl,https://api.spotify.com/v1/audio-analysis/6nrd2ZR82WaoUCHQLsGqrl,203793,4
0.766,0.664,9,-6.932,0,0.177,0.334,0,0.115,0.509,109.946,audio_features,4XcxgZSriCYamtIA7BgT7V,spotify:track:4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/tracks/4XcxgZSriCYamtIA7BgT7V,https://api.spotify.com/v1/audio-analysis/4XcxgZSriCYamtIA7BgT7V,219550,4
0.705,0.441,11,-8.047,0,0.0445,0.279,0.00279,0.111,0.198,114.898,audio_features,2f2hbFjim051DVx0o8o4rU,spotify:track:2f2hbFjim051DVx0o8o4rU,https://api.spotify.com/v1/tracks/2f2hbFjim051DVx0o8o4rU,https://api.spotify.com/v1/audio-analysis/2f2hbFjim051DVx0o8o4rU,144000,4
0.728,0.484,5,-7.098,0,0.146,0.374,0,0.123,0.692,150.029,audio_features,3zOgfB6xNtU0vaV38kthWk,spotify:track:3zOgfB6xNtU0vaV38kthWk,https://api.spotify.com/v1/tracks/3zOgfB6xNtU0vaV38kthWk,https://api.spotify.com/v1/audio-analysis/3zOgfB6xNtU0vaV38kthWk,164800,4
0.697,0.567,1,-5.723,0,0.142,0.191,1.35e-05,0.115,0.667,140.003,audio_features,2uedrwdmRRaaDPLtB5nCdO,spotify:track:2uedrwdmRRaaDPLtB5nCdO,https://api.spotify.com/v1/tracks/2uedrwdmRRaaDPLtB5nCdO,https://api.spotify.com/v1/audio-analysis/2uedrwdmRRaaDPLtB5nCdO,208670,4
