danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,audio_features,65FftemJ1DbbZ45DUfHJXE,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4
0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,audio_features,0a4MMyCrzT0En247IhqZbD,spotify:track:0a4MMyCrzT0En247IhqZbD,https://api.spotify.com/v1/tracks/0a4MMyCrzT0En247IhqZbD,https://api.spotify.com/v1/audio-analysis/0a4MMyCrzT0En247IhqZbD,179027,4
0.811,0.648,10,-3.684,0,0.0368,0.236,0,0.0761,0.695,104.988,audio_features,2pIUpMhHL6L9Z5lnKxJJr9,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/tracks/2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/audio-analysis/2pIUpMhHL6L9Z5lnKxJJr9,180067,4
0.882,0.797,10,-3.299,0,0.0819,0.0821,0,0.113,0.824,105.025,audio_features,4fsQ0K37TOXa3hEQfjEic1,spotify:track:4fsQ0K37TOXa3hEQfjEic1,https://api.spotify.com/v1/tracks/4fsQ0K37TOXa3hEQfjEic1,https://api.spotify.com/v1/audio-analysis/4fsQ0K37TOXa3hEQfjEic1,184444,4
0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,audio_features,3r8RuvgbX9s7ammBn07D3W,spotify:track:3r8RuvgbX9s7ammBn07D3W,https://api.spotify.com/v1/tracks/3r8RuvgbX9s7ammBn07D3W,https://api.spotify.com/v1/audio-analysis/3r8RuvgbX9s7ammBn07D3W,185507,4
0.847,0.638,0,-3.764,1,0.0575,0.0596,0,0.0894,0.661,156.935,audio_features,2DwUdMJ5uxv20EhAildreg,spotify:track:2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/tracks/2DwUdMJ5uxv20EhAildreg,https://api.spotify.com/v1/audio-analysis/2DwUdMJ5uxv20EhAildreg,235562,4
0.594,0.647,6,-4.347,1,0.0834,0.121,0,0.352,0.511,82.321,audio_features,56s2s5e8WuBsWVKnmz6J9L,spotify:track:56s2s5e8WuBsWVKnmz6J9L,https://api.spotify.com/v1/tracks/56s2s5e8WuBsWVKnmz6J9L,https://api.spotify.com/v1/audio-analysis/56s2s5e8WuBsWVKnmz6J9L,180001,4
0.666,0.925,6,-3.193,1,0.102,0.0162,0,0.203,0.798,124.001,audio_features,7oQqeRSV38YqkRv2UGvmbS,spotify:track:7oQqeRSV38YqkRv2UGvmbS,https://api.spotify.com/v1/tracks/7oQqeRSV38YqkRv2UGvmbS,https://api.spotify.com/v1/audio-analysis/7oQqeRSV38YqkRv2UGvmbS,175947,5
0.785,0.679,0,-4.907,1,0.0379,0.516,0,0.417,0.616,121.121,audio_features,1sZBzYhrQG40zcSuKkI93c,spotify:track:1sZBzYhrQG40zcSuKkI93c,https://api.spotify.com/v1/tracks/1sZBzYhrQG40zcSuKkI93c,https://api.spotify.com/v1/audio-analysis/1sZBzYhrQG40zcSuKkI93c,156355,4
0.605,0.805,6,-3.212,1,0.0641,0.313,0,0.659,0.738,148.298,audio_features,2bZIDMpzVooosmPHn0tHnd,spotify:track:2bZIDMpzVooosmPHn0tHnd,https://api.spotify.com/v1/tracks/2bZIDMpzVooosmPHn0tHnd,https://api.spotify.com/v1/audio-analysis/2bZIDMpzVooosmPHn0tHnd,191696,4
0.767,0.721,1,-5.586,1,0.0456,0.153,1.52e-06,0.108,0.884,150.065,audio_features,3v5o91PrUtf0nmO6j8J7dZ,spotify:track:3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/tracks/3v5o91PrUtf0nmO6j8J7dZ,https://api.spotify.com/v1/audio-analysis/3v5o91PrUtf0nmO6j8J7dZ,208066,4
0.722,0.676,11,-5.885,0,0.0829,0.000835,1.2e-05,0.321,0.362,129.943,audio_features,3gFcGnU4kTdMYLXDjH1TK8,spotify:track:3gFcGnU4kTdMYLXDjH1TK8,https://api.spotify.com/v1/tracks/3gFcGnU4kTdMYLXDjH1TK8,https://api.spotify.com/v1/audio-analysis/3gFcGnU4kTdMYLXDjH1TK8,213427,4
0.643,0.88,5,-3.473,1,0.147,0.167,0,0.109,0.8,159.915,audio_features,3CtpSwA8Z96ePP9nfTPz3Z,spotify:track:3CtpSwA8Z96ePP9nfTPz3Z,https://api.spotify.com/v1/tracks/3CtpSwA8Z96ePP9nfTPz3Z,https://api.spotify.com/v1/audio-analysis/3CtpSwA8Z96ePP9nfTPz3Z,183376,4
0.618,0.801,7,-2.905,1,0.0825,0.0168,0,0.131,0.699,138.028,audio_features,21ApmVGIzIAIDSBdHu6SVt,spotify:track:21ApmVGIzIAIDSBdHu6SVt,https://api.spotify.com/v1/tracks/21ApmVGIzIAIDSBdHu6SVt,https://api.spotify.com/v1/audio-analysis/21ApmVGIzIAIDSBdHu6SVt,166491,4
0.726,0.963,9,-1.111,0,0.0916,0.0429,0.00157,0.128,0.769,126.062,audio_features,0CnpSTdL9l5vQM4YnzXtyo,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,https://api.spotify.com/v1/tracks/0CnpSTdL9l5vQM4YnzXtyo,https://api.spotify.com/v1/audio-analysis/0CnpSTdL9l5vQM4YnzXtyo,222853,4
0.649,0.898,11,-3.291,0,0.11,0.0213,0,0.0576,0.663,122.028,audio_features,7B9W7Qsy5M2kyUNjQYIEG8,spotify:track:7B9W7Qsy5M2kyUNjQYIEG8,https://api.spotify.com/v1/tracks/7B9W7Qsy5M2kyUNjQYIEG8,https://api.spotify.com/v1/audio-analysis/7B9W7Qsy5M2kyUNjQYIEG8,204293,4
0.644,0.938,4,-2.206,0,0.0496,0.0459,0,0.777,0.919,119.977,audio_features,1RHTdr5QfviCYI70QPPDJN,spotify:track:1RHTdr5QfviCYI70QPPDJN,https://api.spotify.com/v1/tracks/1RHTdr5QfviCYI70QPPDJN,https://api.spotify.com/v1/audio-analysis/1RHTdr5QfviCYI70QPPDJN,164187,4
0.55,0.892,7,-2.682,1,0.074,0.0426,0,0.0978,0.637,164.027,audio_features,4nfJlXuVlucJnGX4crJ0YV,spotify:track:4nfJlXuVlucJnGX4crJ0YV,https://api.spotify.com/v1/tracks/4nfJlXuVlucJnGX4crJ0YV,https://api.spotify.com/v1/audio-analysis/4nfJlXuVlucJnGX4crJ0YV,182533,4
0.65,0.964,1,-1.329,1,0.0348,0.0538,0,0.245,0.836,120.008,audio_features,27bIik73QCu8Xzt3xpG1bI,spotify:track:27bIik73QCu8Xzt3xpG1bI,https://api.spotify.com/v1/tracks/27bIik73QCu8Xzt3xpG1bI,https://api.spotify.com/v1/audio-analysis/27bIik73QCu8Xzt3xpG1bI,217067,4
0.781,0.725,4,-3.571,0,0.0452,0.0281,0,0.0761,0.765,112.045,audio_features,37YoRLUu1qId0ewavgvnkG,spotify:track:37YoRLUu1qId0ewavgvnkG,https://api.spotify.com/v1/tracks/37YoRLUu1qId0ewavgvnkG,https://api.spotify.com/v1/audio-analysis/37YoRLUu1qId0ewavgvnkG,201895,4
